"X","Y","backup","siteID"
-82.5552100334145,27.8873416933674,FALSE,1
-82.5448422337563,27.8903310752721,FALSE,2
-82.5629906735324,27.8851803646345,FALSE,3
-82.5719809063876,27.8825354723206,FALSE,4
-82.5682726791441,27.8836388734084,TRUE,5
-82.577486604106,27.8811865913395,FALSE,6
-82.5791399261951,27.8806563494332,TRUE,7
-82.5757697536836,27.8817062037068,TRUE,8
-82.547032357804,27.8897327599423,TRUE,9
-82.574453363526,27.881918956065,FALSE,10
-82.5515627430363,27.888485046334,FALSE,11
-82.564888393372,27.8845170056222,FALSE,12
-82.55027990026,27.8887558599528,FALSE,13
-82.5583343626191,27.8863592275243,TRUE,14
-82.5483476383668,27.8891303093374,FALSE,15
