"X","Y","backup","site","siteID"
-82.5786995067874,27.8806604541903,FALSE,"Gandy",1
-82.5706442644936,27.882911012822,FALSE,"Gandy",2
-82.5625886811549,27.8851611050099,FALSE,"Gandy",3
-82.5545327569074,27.8874107306192,FALSE,"Gandy",4
-82.5464764918869,27.8896598895154,FALSE,"Gandy",5
-82.546282014708,27.8891721909433,FALSE,"Gandy",6
-82.5543348324115,27.8869134087735,FALSE,"Gandy",7
-82.5623873080851,27.8846541603098,FALSE,"Gandy",8
-82.5704394415934,27.882394445687,FALSE,"Gandy",9
-82.5784912328011,27.8801342650402,FALSE,"Gandy",10
-82.5746719282796,27.8817857918032,TRUE,"Gandy",11
-82.5585607616363,27.8862859761452,TRUE,"Gandy",12
-82.5426383212697,27.8905123394022,TRUE,"Gandy",13
-82.5583611130105,27.88578384282,TRUE,"Gandy",14
-82.5744653799932,27.8812644136081,TRUE,"Gandy",15
-82.4645789060789,28.0131792828212,FALSE,"Hillsborough",16
-82.4646409644169,28.0180927977424,FALSE,"Hillsborough",17
-82.4612471437896,28.0212686962943,FALSE,"Hillsborough",18
-82.455725478016,28.0202865671208,FALSE,"Hillsborough",19
-82.4502650576587,28.0196209087477,FALSE,"Hillsborough",20
-82.4456907406635,28.0185065731571,FALSE,"Hillsborough",21
-82.4422528030895,28.0150250779364,FALSE,"Hillsborough",22
-82.4389610037968,28.0169360536835,FALSE,"Hillsborough",23
-82.4362610907034,28.0210885535852,FALSE,"Hillsborough",24
-82.4312748647503,28.0231410860097,FALSE,"Hillsborough",25
-82.4642617139272,28.015623739364,TRUE,"Hillsborough",26
-82.4584878915876,28.0207794260425,TRUE,"Hillsborough",27
-82.4480048691567,28.0183703844438,TRUE,"Hillsborough",28
-82.4405349815924,28.0148632109725,TRUE,"Hillsborough",29
-82.4339210436748,28.0223882790183,TRUE,"Hillsborough",30
